"challenge_id","question_id","question_text","answer_id","answer_text"
702,3372,"In the title block, what name appears directly after the word ""By""?",3372,Howard Pyle
702,3373,What is the stated role of the lord associated with Drachenhausen?,3373,a robber baron
702,3374,Which exact four-word name is given for the new emperor mentioned in Germany?,3374,Count Rudolph of Hapsburg
702,3375,"In the stated reason introduced by ""for complaint had been lodged against him"", who is named?",3375,Baron Henry
702,3376,"In the Abbot’s quoted reply, what words come immediately after ""not until thou art""?",3376,healed in body
703,3377,In what year did Felix von Kraus receive a doctorate in musicology from the University of Vienna?,3377,1894
703,3378,What is the exact title of the weekly one-hour local sports interview show Mark Potter hosted?,3378,'SportsMark'
703,3379,What date is given for Uriel Weinreich's death of cancer?,3379,"March 30, 1967"
703,3380,Which composer's works did Felix von Kraus specialize in?,3380,Richard Wagner
703,3381,"After his test, which two Formula One teams are named as exceptions to contacting Jos Verstappen?",3381,Ferrari and Williams
704,3382,"As of 2015, how many Emmy Awards had Drew Esocoff won?",3382,11
704,3383,What is the stated release date of The Market of Souls (by Paramount Pictures)?,3383,"September 7, 1919"
704,3384,A print of The Market of Souls is held in which named collection?,3384,the Gosfilmofond collection
704,3385,"Under Preservation, The Ship of Souls is described as what?",3385,a lost film
704,3386,The Motion Picture Directors Association is described as a forerunner to what?,3386,Directors Guild of America
705,3387,What number is given for the Fleet Post Office (FPO#) at Guadalcanal?,3387,145
705,3388,"In the teletype message that begins ""Message authenticator: Hatefulness — Hatefulness"", what is the message authenticator code word shown after the colon?",3388,Hatefulness
705,3389,How many were transported to a barren moon by the Skrulls (Cotati group)?,3389,17
705,3390,Complete the quoted reason: they believed that all plants were ____.,3390,beneath their notice
705,3391,"Only stations holding what may stay on air, according to the teletype message?",3391,NDEA
706,3392,"In Passage 1, what month and year is given for the achievement of career ranking 57?",3392,October 2011
706,3393,"In Passage 4, how many children does Baglan Mailybayev have?",3393,two children
706,3394,"In Passage 8, what single-word era name is listed under the heading “Era name”?",3394,Yuanxi
706,3395,"In Passage 8, what three-word phrase appears immediately before the name “Liu Yu” in the sentence about yielding the throne on 5 July 420?",3395,under pressure from
706,3396,"In Passage 8, what word begins the sentence clause that precedes “Sima Dezong's severe developmental disability”?",3396,Despite
707,3397,What is Emigrant Pass's stated peak elevation (in feet)?,3397,"6,125 feet"
707,3398,Who is named as the director of the 1942 American Western film Riding the Wind?,3398,Edward Killy
707,3399,On what channel did Coney Island Baby make its premiere television broadcast?,3399,Sundance Channel
707,3400,Which 2006 biographical novel is the 2009 Japanese comedy-crime film stated to be based on?,3400,Kekkon Sagishi Kuhio Taisa
707,3401,What did Emigrant Pass originally carry over the Emigrant Hills of northern Eureka County?,3401,the California Trail
708,3402,In what year was the PRFC established?,3402,1942
708,3403,How many commercial passenger boardings are stated for Twin Hills Airport in calendar year 2008?,3403,395
708,3404,Which identifier is stated as assigned by the FAA for Twin Hills Airport (despite the usual three-letter practice)?,3404,A63
708,3405,"According to the text, the Puerto Rico Fire Services was called that in 1953 because of what?",3405,the new formed Commonwealth of Puerto Rico
708,3406,Which gate is stated as used for departures in the passenger terminal description?,3406,Gate 15
709,3407,What is the size given for the development split?,3407,"1,014"
709,3408,Which languages are stated as the only ones used for the experiments?,3408,German and French
709,3409,"In the restriction sentence, what two-word phrase appears after the word ""have""?",3409,in-house expertise
709,3410,What toolkit is named for tagging the entire source sentences?,3410,spacy
709,3411,"In the note comparing three degradation strategies, which label is stated to have replacements that depend on the target language?",3411,AMB
710,3412,How many chromosomes does Lathyrus aphaca have?,3412,14
710,3413,What number is given for species in the genus Dichroa?,3413,12
710,3414,What numeric range is given for the height of the annual climbing plant described in the Sweet pea passage?,3414,1–2 metres
710,3415,"In the sentence beginning ""Because of this,"" what should sweet peas be planted away from?",3415,fruit trees
710,3416,"Fill the blank from the text: ""and if eaten ___ can cause lathyrism"".",3416,in large quantities
711,3417,What yard figure is given in parentheses for the mile run?,3417,"1,760 yards"
711,3418,On what date was the barrier first achieved at Oxford University's Iffley Road Track?,3418,6 May 1954
711,3419,"Whose name appears after ""Morocco's"" as the current holder of the mile record?",3419,Hicham El Guerrouj
711,3420,Which organization is named as still not having recognised a sub-4-minute-mile performance as a record in the M40 division?,3420,World Masters Athletics
711,3421,"According to the passage, who has not yet run a four-minute mile?",3421,No woman
712,3422,What birth date is given for Chanelle Scot Calica?,3422,25 December 1983
712,3423,"In the WWF, what was Erik Watts renamed?",3423,Troy
712,3424,Who authorized Nathaniel Gist to form Gist's Additional Continental Regiment?,3424,George Washington
712,3425,"As of March 2022, who is stated to be the last surviving member of The Watts Prophets?",3425,Fr Amde Hamilton
712,3426,"In the final version, who is stated to replace Shystie?",3426,Sue Yen
713,3427,What name is used for SR 123 on the segment described as running from Tysons to the George Washington Memorial Parkway?,3427,Dolley Madison Boulevard
713,3428,What population number is stated for Greater Glasgow at the time of the 2001 UK Census?,3428,"1,199,629"
713,3429,Which temperature value is stated as the constant assumption for oxygen in the upper atmosphere at the signal frequency?,3429,255 K
713,3430,"In the stated comparison with water vapor, what does oxygen have (as written) that leads to the separate-layers assumption?",3430,a much greater scale height than water vapor
713,3431,Antenna tippings are stated to occur more frequently under what condition?,3431,weather is changing
714,3432,"In diamond turning, what is on the cutting tool?",3432,a diamond tip
714,3433,What abbreviation is shown in parentheses after “foreign direct investment”?,3433,FDI
714,3434,Which person is identified as the president of the European Parliament?,3434,David Sassoli
714,3435,Pegging your currency can often lead to lots of what?,3435,foreign direct investment
714,3436,Which word introduces the exception to the statement about 1 U.S. dollar being worth about 8 Hong Kong dollars?,3436,unless
715,3437,What date is given for Pauline Auzou’s birth?,3437,24 March 1775
715,3438,Which publisher in Paris is named for the book Têtes d'études?,3438,Didot
715,3439,How long was Vernon Richards sentenced to in prison on 26 April 1945?,3439,nine months
715,3440,Editing the paper Italia Libera/Free Italy had what stated outcome in 1935?,3440,Richards' deportation from France in 1935
715,3441,What legal limitation is stated for not pursuing the same charges against Berneri?,3441,a wife could not be prosecuted for conspiring with her husband
716,3442,What is the stated total number of datasets used?,3442,three datasets
716,3443,How many of Shakespeare’s plays are included in the line-by-line modern paraphrases collection?,3443,16
716,3444,What average target BLEU score is reported for the seq2seq model with global attention on the style transfer dataset?,3444,29.65
716,3445,"In the actor-critic architecture, how many CNNs are used for feature extraction?",3445,3 parallel CNNs
716,3446,"During inference, the next word is computed using attention matrices when the decoder output at the current time step is what token?",3446,UNK token
717,3447,"From February 2014 through August 2016, what was the average time stated for EOIR to hire an immigration judge?",3447,647 days
717,3448,What minimum share of NTA dates was stated as unreliable?,3448,at least 16 percent
717,3449,What phone number is provided for contacting Rebecca Gambler?,3449,(202) 512-8777
717,3450,"In an example about removing quasi-judicial functions from DOJ, DOJ is also responsible for representing the government in appeals to which courts?",3450,the U.S. Circuit Courts of Appeals
717,3451,What must be shown for an immigration judge to continue a case?,3451,good cause shown
718,3452,"What call sign was WVNH originally assigned on November 15, 1991?",3452,WQFB
718,3453,"Since when has KKBN (93.5 FM) ""The Cabin"" been broadcasting a country music format?",3453,March 2000
718,3454,"In the Lakes Region of New Hampshire, what city is stated to be the largest municipality?",3454,Laconia
718,3455,Piola station grants direct access to which institution?,3455,Politecnico di Milano
718,3456,Piola station does not have a direct access to what?,3456,the square
719,3457,"What figure appears immediately after the label ""INGRAHAM:"" in the brief exchange about the money spent?",3457,$9 million
719,3458,"Which outlet is named in the line where Tillerson is described as ""telling"" someone recently?",3458,Bloomberg
719,3459,"In the statement describing Broadcom, what two-word label is used to classify the company group it belongs to?",3459,Fortune 100
719,3460,"In the sentence where ""Many of those people voted for me"" is followed by ""because of"", what single word comes next?",3460,trade
719,3461,"In the line that includes the clause ""if we get this through"", what two-word phrase describes what the economy will do?",3461,take off
720,3462,What was Padovano's annual salary when he was hired as first organist at St. Mark's in Venice?,3462,40 ducats
720,3463,How many chimneys does the “Big House” boast?,3463,14 chimneys
720,3464,What two-word term is inside the quotation marks in the phrase describing what these systems are known as?,3464,invention registration
720,3465,Resolution of superior vena cava syndrome is directly related to the treatment of what?,3465,underlying compression
